strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
CHN/Wuhan_IME-WH03/2019	2019-12-30	B	0.00	19A	China	Hubei	19A	202001	MT291828	Homo sapiens		B	Older	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al			
CHN/Wuhan_IME-WH04/2019	2019-12-30	B	0.00	19A	China	Hubei	19A	202001	MT291829	Homo sapiens		B	Older	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al			
Wuhan-Hu-1/2019	2019-12-26	B	0.00	19A	China	China	19A	201952	MN908947	Homo sapiens		B	Older	Asia	Fudan University, Shanghai Public Health Clinical Center & School of Public Health	Wu et al			
THA/SI200615-NT/2020	2020-01-29	B	0.00	19A	Thailand	Thailand	19A	202005	MT447160	Homo sapiens		B	Older	Asia	Faculty of Medicine, Chulalongkorn University	Rodpan et al			
CHN/P10-SARS-CoV-2/2020	2020-01-29	B	0.00	19A	China	Hunan	19A	202005	MW011767	Homo sapiens		B	Older	Asia	Center for Disease Control and Prevention of PLA, Centre for Infectious Disease Control	Qiu et al			
BRA/SP02/2020	2020-02-28	B	0.00	19A	Brazil	Brazil	19A	202009	MT126808	Homo sapiens		B	Older	South America	Hospital Israelita Albert Einstein, Clinical Laboratory	Amgarten et al			
LKA/COV486/2020	2020-03-31	B	0.00	19A	Sri Lanka	Sri Lanka	19A	202014	MT371050	Homo sapiens		B	Older	Asia	University of Sri Jayewardenepura, Allergy, Immunology and Cell Biology Unit	Jeewandara et al			
CHN/SH-P104-C-3-Europe-UK/2020	2020-03-29	B	0.00	19A	China	China	19A	202014	OR240557	Homo sapiens		B.35	Older	Asia	Fudan University, School of life sciense	Lv et al			
Homosampiens/CHN/0530_07TY/2020	2020-05-30	B	0.00	19A	China	Hubei	19A	202022	MZ317935	Homo sapiens		B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al			
EGY/EGY_CCHE57357_A_29/2020	2020-07-28	B	0.00	19A	Egypt	Egypt	19A	202031	MW467440	Homo sapiens		B.1	Older	Africa	Children Cancer Hospital, Genomics Program	Hatem et al			
CHN/SH-P59-A-2-Unclear/2020	2020-02-11	B	0.00	19A	China	China	19A	202007	OR240524	Homo sapiens		B	Older	Asia	Fudan University, School of life sciense	Lv et al			
IND/29/2020	2020-01-27	B	2.00	19A	India	Kerala	19A	202005	MT012098	Homo sapiens		B	Older	Asia	National Institute of Virology, Maximum Containment Laboratory	Yadav et al			
CHN/SH-P121-A-3-Europe-France/2020	2020-03-26	B.1	1.00	20A	China	China	20A	202013	OR240578	Homo sapiens		B.1	Older	Asia	Fudan University, School of life sciense	Lv et al			
MLT/Sliema_1/2020	2020-08-19	B.1.389	1.00	20A	Malta	Malta	20A	202034	MW079418	Homo sapiens		B.1.389	Older	Europe	The Bio Arte Limited, Laboratory	Biazzo et al			
PAK/SARS-CoV-2_134/2020	2020-03-16	B.1	1.00	20A	Pakistan	Islamabad Capital Territory	20A	202012	MW422115	Homo sapiens		B.1	Older	Asia	China National Center for Bioinformation / Beijing Institute of Genomics, Chinese Academy of Sciences, National Genomics Data Center	Badar et al			
PAK/SARS-CoV-2_149/2020	2020-06-01	B.1	1.00	20A	Pakistan	Punjab PK	20A	202023	MW422130	Homo sapiens		B.1	Older	Asia	China National Center for Bioinformation / Beijing Institute of Genomics, Chinese Academy of Sciences, National Genomics Data Center	Badar et al			
PAK/SARS-CoV-2_97/2020	2020-04-22	B.1	2.00	20A	Pakistan	Pakistan	20A	202017	MW422078	Homo sapiens		B.1	Older	Asia	China National Center for Bioinformation / Beijing Institute of Genomics, Chinese Academy of Sciences, National Genomics Data Center	Badar et al			
CHN/SH-P187-4-Asia-India/2020	2020-09-20	B.1.480	1.00	20A	China	China	20A	202039	OR240653	Homo sapiens		B.1	Older	Asia	Fudan University, School of life sciense	Lv et al			
ETH/S2/2021	2021-01-26	B.1.480	4.00	20A	Ethiopia	Addis Ababa	20A	202104	OL840803	Homo sapiens		B.1.480	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al			
ETH/AH-003/2020	2020-11-10	B.1	3.00	20A	Ethiopia	Ethiopia	20A	202046	MZ172409	Homo sapiens		B.1	Older	Africa	Armauer Hansen Research Institute, Bacterial and Viral Diseases & Biotechnology and Bioinformatics	Alemayehu et al			
ETH/39650_S8_L001_1/2020	2020-12-20	B.1	1.00	20A	Ethiopia	Ethiopia	20A	202052	MW703382	Homo sapiens		B.1	Older	Africa	Ethiopian Public Health Institute, Virology	Weldemariam et al			
ETH/S7/2021	2021-01-23	B.1	2.00	20A	Ethiopia	Addis Ababa	20A	202103	OL840808	Homo sapiens		B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al			
ETH/S6/2021	2021-02-01	B.1	1.00	20A	Ethiopia	Addis Ababa	20A	202105	OL840807	Homo sapiens		B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al			
ETH/S15/2021	2021-05-01	B.1	2.00	20A	Ethiopia	Addis Ababa	20A	202117	OL840816	Homo sapiens		B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al			
Netherlands/ZuidHolland_215/2020	2020-05-08	B.1.22	1.00	20A	Netherlands	Netherlands	20A	202019	LR883425	Homo sapiens		B.1.22	Older	Europe	Wytemaweg 80 3015 Cn Rotterdam	Oude Munnink et al			
USA/TG664561/2020	2020-04-20	B.1	1.00	20A	USA	Arizona	20A	202017	MZ906082	Homo sapiens	Sonora Quest Laboratories	B.1	Older	North America	The Translational Genomics Research Institute COVID submission group, Bioinformatics	Bowers et al			
EGY/EGY_CCHE57357_A_09/2020	2020-05-14	B.1	1.00	20A	Egypt	Egypt	20A	202020	MW467425	Homo sapiens		B.1	Older	Africa	Children Cancer Hospital, Genomics Program	Hatem et al			
CHN/SH-P197-4-Europe-UK/2020	2020-08-24	B.1.110.3	1.00	20A	China	China	20A	202035	OR240665	Homo sapiens		B.1.110.3	Older	Asia	Fudan University, School of life sciense	Lv et al			
DJI/NAMRU3_CL1/2020	2020-04-28	B.1	1.00	20C	Djibouti	Djibouti	20C	202018	MZ970746	Homo sapiens		B.1	Older	Africa	Naval Medical Research Center, Biological Defense Research Directorate, Genomics and Bioinformatics Department	Arnold et al			
VEN/3NE/2020	2020-04-10	B.1	1.00	20C	Venezuela	Venezuela	20C	202015	MT907516	Homo sapiens		B.1	Older	South America	IVIC, CMBC	Loureiro et al			
Mexico/SEARCH-102581/2020	2020-04-11	B.1.320	1.00	20C	Mexico	Baja California	20C	202015	OK548943	Homo sapiens	SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)	B.1.320	Older	North America	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al			
USA/MN-MDH-1594/2020	2020-05-15	B.1	1.00	20C	USA	Minnesota	20C	202020	MT997712	Homo sapiens		B.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Plumb et al			
OQ121778	2020-10-20	B.1.497	1.00	20C	South Korea	South Korea	20C	202043	OQ121778			B.1.497	Older	Asia	Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease	Noh et al			
TUR/Trabzon_1708-2020/2020	2020-04-09	B.1	1.00	20C	Turkey	Turkey	20C	202015	MT955161	Homo sapiens		B.1	Older	Europe	Antimikrop ARGE ve Biyosidal Analiz Merkezi, Microbiology	Cicek et al			
NGA/CV301/2020	2020-09-01	B.1	1.00	20C	Nigeria	Nigeria	20C	202036	OQ050477	Homo sapiens		B.1.336	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
TWN/CGMH-CGU-33/2020	2020-10-04	B.1.2	1.00	20G	Taiwan	Taiwan	20G	202041	MW356786	Homo sapiens		B.1.2	Older	Asia	Lin-Kou Chang-Gung Memorial Hospital, Department of Laboratory Medicine	Tsao et al			
USA/WI-UW-1948/2020	2020-09-21	B.1.2	2.00	20C	USA	Wisconsin	20C	202039	MW341816	Homo sapiens		B.1.2	Older	North America	UW-Madison, Pathology and Laboratory Medicine	Moreno et al			
GTM/UGA-31018526/2021	2021-05-27	B.1.637	5.00	20C	Guatemala	Guatemala	20C	202121	OP313873	Homo sapiens		B.1.637	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al			
USA/MA-CDCBI-CRSP_KSW4IBV2TMR7MEFT/2021	2021-05-03	B.1.526	4.00	21F (Iota)	USA	Massachusetts	21F	202118	MZ194873	Homo sapiens	Broad Institute Clinical Research Sequencing Platform	B.1.526	Older	North America	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al			
SouthAfrica/NHLS-UCT-GS-B665/2021	2021-04-28	B.1.351	8.00	20H (Beta)	South Africa	South Africa	20H	202117	OM765432	Homo sapiens		B.1.351	Older	Africa	University of Cape Town and National Health Laboratory Service, Department of Pathology, Faculty of Health Sciences	Viana et al			
PHL/210430-1/2021	2021-04-26	B.1.351	8.00	20H (Beta)	Philippines	Philippines	20H	202117	OL989090	Homo sapiens		B.1.351	Older	Asia	Nanjing Municipal Center for Disease Control and Prevention, Microbiology Laboratory	Zhao et al			
PHL/PH-DDOPH-12-11/2021	2021-05-28	B.1.351	8.00	20H (Beta)	Philippines	Davao Region	20H	202121	OP522445	Homo sapiens		B.1.351	Older	Asia	PGC Mindanao, Bioinformatics Division	Gaite et al			
PHL/COVID-74517/2021	2021-07-01	B.1.351	8.00	20H (Beta)	Philippines	Philippines	20H	202126	OL629469	Homo sapiens		B.1.351	Older	Asia	USAMD-AFRIMS, Virology	Velasco et al			
SAU/SARS-CoV-2_KFSHRC10/2021	2021-04-15	B.1.351	8.00	20H (Beta)	Saudi Arabia	Saudi Arabia	20H	202115	MZ215961	Homo sapiens		B.1.351	Older	Asia	King Faisal Hospital Research Center, Infectious Diseases	Alhamlan F et al			
PHL/COVID58228/2021	2021-04-07	B.1.351	8.00	20H (Beta)	Philippines	Manila	20H	202114	MZ068158	Homo sapiens		B.1.351	Older	Asia	AFRIMS, VIROLOGY	Velasco et al			
MWI/MLW001006/2021	2021-01-08	B.1.351	7.00	20H (Beta)	Malawi	Malawi	20H	202101	ON099889	Homo sapiens		B.1.351	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al			
MWI/MLW001015/2020	2020-12-23	B.1.351	7.00	20H (Beta)	Malawi	Malawi	20H	202052	ON099877	Homo sapiens		B.1.351	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al			
ZAF/NHLS-UCT-GS-9036/2020	2020-12-28	B.1.351	7.00	20H (Beta)	South Africa	South Africa	20H	202053	PP518845	Homo sapiens		B.1.351	Older	Africa	University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division	Wilkinson et al			
CHN/GDIPH-GDPCC-04/2021	2021-01-26	B.1.351	9.00	20H (Beta)	China	Guangdong	20H	202104	PP226969	Homo sapiens		B.1.351	Older	Asia	Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health	Zhou et al			
CHN/GDIPH-GDPCC-05/2021	2021-01-26	B.1.351	9.00	20H (Beta)	China	Guangdong	20H	202104	PP226970	Homo sapiens		B.1.351	Older	Asia	Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health	Zhou et al			
MWI/MLW001192/2021	2021-02-03	B.1.351	8.00	20H (Beta)	Malawi	Malawi	20H	202105	ON099800	Homo sapiens		B.1.351	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al			
BGD/ideSHi-TR-1310/2021	2021-04-11	B.1.351.3	9.00	20H (Beta)	Bangladesh	Chattogram	20H	202115	MZ413840	Homo sapiens		B.1.351.3	Older	Asia	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Afrad et al			
BGD/BCSIR-JU-22/2021	2021-03-19	B.1.351.3	8.00	20H (Beta)	Bangladesh	Dhaka	20H	202111	MZ562488	Homo sapiens		B.1.351.3	Older	Asia	Genomic Research Lab, BCSIR, BCSIR, Dhaka, Bangladesh	Adnan et al			
SOM/NAMRU3_Mog_42/2021	2021-02-28	B.1.351	8.00	20H (Beta)	Somalia	Somalia	20H	202109	OK018331	Homo sapiens		B.1.351	Older	Africa	Naval Medical Research Center, Biological Defense Research Directorate, Genomics and Bioinformatics Department	Arnold et al			
MYS/C6383/2021	2021-04-17	B.1.351	8.00	20H (Beta)	Malaysia	Malaysia	20H	202115	OM062540	Homo sapiens		B.1.351	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al			
TZA/KIDH-03B13/2021	2021-03-30	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202113	OP236836	Homo sapiens		B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al			
TZA/KIDH-02B05/2021	2021-04-22	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202116	OP236820	Homo sapiens		B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al			
TZA/KIDH-01B10/2021	2021-01-23	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202103	OP236816	Homo sapiens		B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al			
TZA/KIDH-01B01/2021	2021-01-23	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202103	OP236812	Homo sapiens		B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al			
COL/RSEC-00003C/2020	2020-07-15	B.1.111	2.00	20A	Colombia	Colombia	20A	202029	OQ551205	Homo sapiens		B.1.111	Older	South America	Universidad Nacional, ANTIOQUIA	Orf et al			
RUS/953/2020	2020-04-08	B.1	1.00	20A	Russia	Penza	20A	202015	MW332240	Homo sapiens		B.1	Older	Europe	RARI, Mikrobiologie	Krasnov et al			
OV044773	2020-03-23	B.1.9	1.00	20A	Saudi Arabia	Makkah	20A	202013	OV044773	Homo sapiens	King Abdullah University of Science and Technology (KAUST)	B.1.9	Older	Asia	KAUST, Pathogen Genomics Laboratory, KAUST, Thuwal, 23955- 6900	Naeem et al			
TUR/Kafkas-SARSCoV2-0019/2020	2020-07-15	B.1.9	1.00	20A	Turkey	Turkey	20A	202029	MT787577	Homo sapiens		B.1.9.5	Older	Europe	Kafkas University, Faculty of Medicine, Department of Medical Microbiology	Karamese et al			
TUR/KOC-IST-SP3/2020	2020-05-18	B.1.9	1.00	20A	Turkey	Turkey	20A	202021	MW199143	Homo sapiens		B.1.9.5	Older	Europe	Koc University, Microbiology	Ozer et al			
EGY/CPHL-NRC-20/2020	2020-03-13	B.1	1.00	20A	Egypt	Egypt	20A	202011	MW451239	Homo sapiens		B.1	Older	Africa	Egyptian Ministry of Health and Population, Central Laboratories	Roshdy et al			
PAK/JRCGR-KHI06/2020	2020-05-20	B.1.471	1.00	20A	Pakistan	Sindh	20A	202021	MW447610	Homo sapiens		B.1.471	Older	Asia	University of Karachi, Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, ICCBS	Shakeel et al			
ESP/MD-HGUGM-5592078/2021	2021-04-08	B.1.621	8.00	21H (Mu)	Spain	Spain	21H	202114	OQ080078	Homo sapiens		B.1.621	Older	Europe	Instituto de Investigacion Sanitaria Gregorio Maranon, Clinical Microbiology and Infectious Diseases	Penas Utrilla et al			
Colombia/CO-DC-UW21060948833/2021	2021-06-09	B.1.621	8.00	21H (Mu)	Colombia	Colombia	21H	202123	OQ691317	Homo sapiens		B.1.621	Older	South America	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al			
OZ286434	2021-10-11	B.1.621	10.00	21H (Mu)	Spain	Madrid Area	21H	202141	OZ286434	Homo sapiens	Fundación Instituto de Investigación Sanitaria Fundación Jiménez Díaz, Madrid, Spain	B.1.621	Older	Europe	Fundacion Instituto de Investigacion Fundacion Jimenez Diaz, Avda. de los Reyes Catolicos, 2, Madrid	Perales et al			
SAU/671/2020	2020-02-27	B.1	1.00	20A	Saudi Arabia	Saudi Arabia	20A	202009	MT755898	Homo sapiens		B.1	Older	Asia	King Fahad Medical City, Research Laboratories	Alosaimi et al			
NGA/CV235/2020	2020-05-31	B.1.462	1.00	20A	Nigeria	Nigeria	20A	202023	OQ050419	Homo sapiens		B.1.462	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al			
PAK/AKUs56/2020	2020-10-09	B.1.471	1.00	20A	Pakistan	Pakistan	20A	202041	MW433723	Homo sapiens		B.1.471	Older	Asia	Aga Khan University, Pathology and Laboratory Medicine	Ghanchi et al			
