strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
England/NOTT-111F4A/2020	2020-05-03	A.2	0.00	19B	United Kingdom	England	19B	202019	OX679318	Homo sapiens	A.2.3	Older	Europe	DeepSeq, School of Life Sciences, Queens Medical Centre, University of Nottingham, NG7 2UH/West Block, A floor, Queens Medical Centre, Derby Road, Nottingham Ng7 2Uh	?	Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham			
GTM/UGA-3091496/2021	2021-07-23	A.2.5.1	3.00	19B	Guatemala	Guatemala	19B	202129	OP311628	Homo sapiens	A.2.5	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al				
KHM/Kunming_kms-2/2020	2020-03-21	A	0.00	19B	Cambodia	Phnom Penh	19B	202012	MW341443	Homo sapiens	A.6	Older	Asia	Chinese Academy of Medical Science, Respiratory virus Laboratory	Li et al				
CHN/SH-P96-A-3-Africa-Burkina-faso/2020	2020-03-23	A	0.00	19B	China	China	19B	202013	OR240718	Homo sapiens	A	Older	Asia	Fudan University, School of life sciense	Lv et al				
NGA/CV14-1/2020	2020-03-29	A	0.00	19B	Nigeria	Nigeria	19B	202014	OQ050376	Homo sapiens	A	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
IMS-10565-CVDP-00003	2020-04-15	A	0.00	19B	Germany		19B	202016			A	Older	Europe		?				
TUR/Tur-P9/2020	2020-09-12	A	0.00	19B	Turkey	Turkey	19B	202037	ON653598	Homo sapiens	A	Older	Europe	Kocak Farma, Vaccine R&D	Onen et al				
NGA/CV336/2020	2020-05-01	A	0.00	19B	Nigeria	Nigeria	19B	202018	OQ050503	Homo sapiens	A	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
GHA/84162_S45/2020	2020-04-25	A	0.00	19B	Ghana	Ghana	19B	202017	MT890242	Homo sapiens	A	Older	Africa	WACCBIP, University of Ghana, Department of Biochemistry, Cell and Molecular Biology	Ngoi et al				
CHN/SH-P182-4-Asia-India/2020	2020-07-02	A	0.00	19B	China	China	19B	202027	OR240648	Homo sapiens	A	Older	Asia	Fudan University, School of life sciense	Lv et al				
UGA/MUWRP-KIR200040S/2020	2020-07-31	A.25	0.00	19B	Uganda	Uganda	19B	202031	OM811375	Homo sapiens	A.25	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al				
UZB/hCoV-19-Uzb-CGB-25/2020	2020-12-07	A	2.00	19B	Uzbekistan	Tashkent	19B	202050	MW853569	Homo sapiens	A.24	Older	Asia	Center of Genomics and bioinformatics, Bioinformatics laboratory	Ayubov et al				
UGA/MUWRP-JIN210062S/2021	2021-01-27	A.23.1	5.00	19B	Uganda	Uganda	19B	202104	OM811354	Homo sapiens	A.23.1	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al				
KEN/SS2951/2021	2021-02-25	A.23.1	4.00	19B	Kenya	Kenya	19B	202108	OL548993	Homo sapiens	A.23.1	Older	Africa	KEMRI-Wellcome Trust Research Programme, Epidemiology and Demography	Githinji et al				
CHN/SH-P38-2-Wuhan/2020	2020-02-07	B	1.00	19A	China	China	19A	202006	OR240486	Homo sapiens	B	Older	Asia	Fudan University, School of life sciense	Lv et al				
CHN/Wuhan_IME-WH02/2019	2019-12-30	B	0.00	19A	China	Hubei	19A	202001	MT291827	Homo sapiens	B	Older	Asia	Beijing Institute of Microbiology and Epidemiology	Fan et al				
OM065342	2020-01-27	B	0.00	19A	China	Anhui	19A	202005	OM065342	Homo sapiens	B	Older	Asia	Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory	Chang et al				
Homosampiens/CHN/0530_07TY/2020	2020-05-30	B	0.00	19A	China	Hubei	19A	202022	MZ317935	Homo sapiens	B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al				
IND/OUMRK100/2020	2020-03-01	B	1.00	19A	India	India	19A	202010	MT415320	Homo sapiens	B.53	Older	Asia	Osmania University, Virus Research Laboratory, Department of Zoology	Muttineni et al				
Wuhan-Hu-1/2019	2019-12-26	B	0.00	19A	China	China	19A	201952	MN908947	Homo sapiens	B	Older	Asia	Fudan University, Shanghai Public Health Clinical Center & School of Public Health	Wu et al				
Homosampiens/CHN/0601_12TY/2020	2020-06-01	B	0.00	19A	China	Hubei	19A	202023	MZ317936	Homo sapiens	B	Older	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al				
OM065375	2020-02-07	B	0.00	19A	China	Anhui	19A	202006	OM065375	Homo sapiens	B	Older	Asia	Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory	Chang et al				
CHN/SH-P104-C-3-Europe-UK/2020	2020-03-29	B	0.00	19A	China	China	19A	202014	OR240557	Homo sapiens	B.35	Older	Asia	Fudan University, School of life sciense	Lv et al				
GRC/53_38017/2020	2020-04-04	B.40	0.00	19A	Greece	Athens	19A	202014	MT459847	Homo sapiens	B.40	Older	Europe	Department of Medicine, National and Kapodistrian University of Athens, Department of Medicine, Democritus University of Thrace, Alexandroupolis, 68100	Kassela et al				
BRA/SP02/2020	2020-02-28	B	0.00	19A	Brazil	Brazil	19A	202009	MT126808	Homo sapiens	B	Older	South America	Hospital Israelita Albert Einstein, Clinical Laboratory	Amgarten et al				
CHN/SH-P184-4-Asia-Iraq/2020	2020-09-10	B.1.441	1.00	20A	China	China	20A	202037	OR240650	Homo sapiens	B.1.441	Older	Asia	Fudan University, School of life sciense	Lv et al				
ETH/S1/2021	2021-02-03	B.1.480	3.00	20A	Ethiopia	Addis Ababa	20A	202105	OL840802	Homo sapiens	B.1.480	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al				
IRN/4058/2020	2020-09-25	B.1.36.7	2.00	20A	Iran	Iran	20A	202039	MZ314348	Homo sapiens	B.1.36	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Zeinali et al				
IRN/3533/2020	2020-10-10	B.1.36.7	3.00	20A	Iran	Iran	20A	202041	MZ314345	Homo sapiens	B.1.36.7	Older	Asia	Kawsar Biotech Company, Human Genetic Research Center	Khosravi et al				
EGY/CPHL-NRC-20/2020	2020-03-13	B.1	1.00	20A	Egypt	Egypt	20A	202011	MW451239	Homo sapiens	B.1	Older	Africa	Egyptian Ministry of Health and Population, Central Laboratories	Roshdy et al				
CHN/SH-P129-A-3-North-America-USA/2020	2020-03-28	B.1	1.00	20A	China	China	20A	202013	OR240588	Homo sapiens	B.1	Older	Asia	Fudan University, School of life sciense	Lv et al				
VEN/12MZ/2020	2020-05-22	B.1.111	1.00	20A	Venezuela	Venezuela	20A	202021	MT907520	Homo sapiens	B.1.111	Older	South America	IVIC, CMBC	Loureiro et al				
TUR/KOC-IST-SP3/2020	2020-05-18	B.1.9	1.00	20A	Turkey	Turkey	20A	202021	MW199143	Homo sapiens	B.1.9.5	Older	Europe	Koc University, Microbiology	Ozer et al				
CHL/Santiago-PUC_MVL_0361/2020	2020-05-11	B.1.110	1.00	20A	Chile	Chile	20A	202020	MW365063	Homo sapiens	B.1.110	Older	South America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al				
CHN/SH-P196-A-4-Europe-UK/2020	2020-08-31	B.1.110.3	1.00	20A	China	China	20A	202036	OR240662	Homo sapiens	B.1.110.3	Older	Asia	Fudan University, School of life sciense	Lv et al				
EGY/EGY-76/2020	2020-08-22	B.1	1.00	20A	Egypt	Egypt	20A	202034	MT994916	Homo sapiens	B.1	Older	Africa	army, biological prevention	Seadawy et al				
ETH/AH-003/2020	2020-11-10	B.1	3.00	20A	Ethiopia	Ethiopia	20A	202046	MZ172409	Homo sapiens	B.1	Older	Africa	Armauer Hansen Research Institute, Bacterial and Viral Diseases & Biotechnology and Bioinformatics	Alemayehu et al				
ETH/S7/2021	2021-01-23	B.1	2.00	20A	Ethiopia	Addis Ababa	20A	202103	OL840808	Homo sapiens	B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al				
ETH/S6/2021	2021-02-01	B.1	1.00	20A	Ethiopia	Addis Ababa	20A	202105	OL840807	Homo sapiens	B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al				
ETH/39379_S7_L001_1/2020	2020-12-20	B.1	1.00	20A	Ethiopia	Ethiopia	20A	202052	MW703380	Homo sapiens	B.1	Older	Africa	Ethiopian Public Health Institute, Virology	Weldemariam et al				
ETH/S15/2021	2021-05-01	B.1	2.00	20A	Ethiopia	Addis Ababa	20A	202117	OL840816	Homo sapiens	B.1	Older	Africa	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Bitew et al				
Netherlands/ZuidHolland_35/2020	2020-03-17	B.1	1.00	20A	Netherlands	South Holland	20A	202012	LR878214	Homo sapiens	B.1	Older	Europe	ERASMUS MC, UNIVERISTY MEDICAL CENTER, Department of Viroscience, Wytemaweg 80, 3015 CN Rotterdam	Fouchier et al				
CHN/SH-P132-3-North-America-Canada/2020	2020-04-02	B.1	1.00	20A	China	China	20A	202014	OR240595	Homo sapiens	B.1.422	Older	Asia	Fudan University, School of life sciense	Lv et al				
CMR/Yaounde-21V-07325/2020	2020-03-26	B.1.356	1.00	20A	Cameroon	Cameroon	20A	202013	OQ521161	Homo sapiens	B.1.356	Older	Africa	Ministere de la Sante Publique - Cameroun, Genomic Surveillance Group	Fokam et al				
MAR/RMPS01/2020	2020-04-13	B.1	1.00	20A	Morocco	Morocco	20A	202016	MT731285	Homo sapiens	B.1	Older	Africa	MedBiotech laboratory, faculty of medicine and pharmacy, rabat/ Mohamed V university rabat, Biotechnologie	Laamarti et al				
USA/MN-MDH-1634/2020	2020-05-01	B.1	1.00	20A	USA	Minnesota	20A	202018	MW020065	Homo sapiens	B.1	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Plumb et al				
USA/FL-BPHL-1947/2020	2020-04-10	B.1	1.00	20A	USA	Florida	20A	202015	MW286714	Homo sapiens	B.1	Older	North America	FLDOH, BPHL	Schmedes et al	Florida Bureau of Public Health Laboratories			
LR963447	2020-04-01	B.1	2.00	20A	Zimbabwe	Bulawayo	20A	202014	LR963447	Homo sapiens	B.1	Older	Africa	Quadram Institute Bioscience, Quadram Institute Bioscience, Norwich Research Park, Norwich NR4 7UQ	Alikhan et al	National Microbiology Reference Laboratory			
USA/MI-MDHHS-SC21591/2020	2020-03-26	B.1	1.00	20A	USA	Michigan	20A	202013	OL816923	Homo sapiens	B.1	Older	North America	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al				
UGA/MUWRP-KIR200098/2020	2020-08-26	B.1	1.00	20A	Uganda	Uganda	20A	202035	OM811376	Homo sapiens	B.1	Older	Africa	St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center	Byarugaba et al				
KOR/KCDC10847-NCCP43345/2020	2020-07-28	B.1.497	1.00	20A	South Korea	South Korea	20A	202031	MW466800	Homo sapiens	B.1.497	Older	Asia	Korea Disease Control and Prevention Agency, Division of Pathogen Resource Management, Korea National Institute of Health	Kim et al				
USA/AK-PHL22864/2020	2020-12-01	B.1.2	1.00	20G	USA	Alaska	20G	202049	OP847135	Homo sapiens	B.1.2	Older	North America	University of Alaska Fairbanks, Institute of Arctic Biology	Haan et al	Alaska State Virology Laboratory			
NGA/CV301/2020	2020-09-01	B.1	1.00	20A	Nigeria	Nigeria	20A	202036	OQ050477	Homo sapiens	B.1.336	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
IRQ/USAFSAM-S085/2020	2020-06-07	B.1	2.00	20C	Iraq	Iraq	20C	202024	MT940503	Homo sapiens	B.1.428.1	Older	Asia	United States Air Force School of Aerospace Medicine, Public Health	Fries et al	Landstuhl Regional Medical Center			
USA/NJ-NYGC-NJ-BioR-636-QIAseq/2020	2020-11-18	B.1	1.00	20C	USA	New Jersey	20C	202047	PV005687	Homo sapiens	B.1	Older	North America	COVID-19 Genomics Research Network NYGC Submitters, COVID-19 Genomics Research Network	Zody et al	Hackensack Meridian Health			
PHL/PH-DDOPH-12-4/2021	2021-05-27	B.1.351	8.00	20H (Beta)	Philippines	Davao Region	20H	202121	OP522438	Homo sapiens	B.1.351	Older	Asia	PGC Mindanao, Bioinformatics Division	Gaite et al				
PHL/210430-1/2021	2021-04-26	B.1.351	8.00	20H (Beta)	Philippines	Philippines	20H	202117	OL989090	Homo sapiens	B.1.351	Older	Asia	Nanjing Municipal Center for Disease Control and Prevention, Microbiology Laboratory	Zhao et al				
SAU/SARS-CoV-2_KFSHRC10/2021	2021-04-15	B.1.351	8.00	20H (Beta)	Saudi Arabia	Saudi Arabia	20H	202115	MZ215961	Homo sapiens	B.1.351	Older	Asia	King Faisal Hospital Research Center, Infectious Diseases	Alhamlan F et al				
PHL/COVID-74517/2021	2021-07-01	B.1.351	8.00	20H (Beta)	Philippines	Philippines	20H	202126	OL629469	Homo sapiens	B.1.351	Older	Asia	USAMD-AFRIMS, Virology	Velasco et al				
TZA/KIDH-01B04/2021	2021-01-23	B.1.351	7.00	20H (Beta)	Tanzania	Tanzania	20H	202103	OP236814	Homo sapiens	B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al				
IND/GBRC576a/2021	2021-03-22	B.1.351	7.00	20H (Beta)	India	India	20H	202112	MZ314964	Homo sapiens	B.1.351	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Soni et al				
BGD/ideSHi-TR-1967/2021	2021-04-24	B.1.351	7.00	20H (Beta)	Bangladesh	Rajshahi	20H	202116	MZ413877	Homo sapiens	B.1.351	Older	Asia	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Afrad et al				
mouse/CHN/MP7/2021	2021-05-01	B.1.351	9.00	20H (Beta)	China	Beijing	20H	202117	OM062573	Mus musculus	B.1.351	Older	Asia	Institute of Laboratory Animal Science, CAMS&PUMC, Key Laboratory of Human Diseases Comparative Medicine	Qin et al				
CHN/GDIPH-GDPCC-04/2021	2021-01-26	B.1.351	9.00	20H (Beta)	China	Guangdong	20H	202104	PP226969	Homo sapiens	B.1.351	Older	Asia	Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health	Zhou et al				
CHN/GDIPH-GDPCC-05/2021	2021-01-26	B.1.351	9.00	20H (Beta)	China	Guangdong	20H	202104	PP226970	Homo sapiens	B.1.351	Older	Asia	Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health	Zhou et al				
IND/GBRC585b/2021	2021-02-02	B.1.351	8.00	20H (Beta)	India	India	20H	202105	MZ317892	Homo sapiens	B.1.351	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Raval et al				
MWI/MLW001047/2021	2021-01-22	B.1.351	8.00	20H (Beta)	Malawi	Malawi	20H	202103	ON099791	Homo sapiens	B.1.351	Older	Africa	Malawi Liverpool Wellcome Clinical Research Program, Salmonella Group	Feasey et al				
TZA/KIDH-02B05/2021	2021-04-22	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202116	OP236820	Homo sapiens	B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al				
TZA/KIDH-01B10/2021	2021-01-23	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202103	OP236816	Homo sapiens	B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al				
NLD/EMC-Beta-1/2021	2021-01-20	B.1.351	8.00	20H (Beta)	Netherlands	Netherlands	20H	202103	OM286905	Homo sapiens	B.1.351	Older	Europe	Erasmus MC, Viroscience	GeurtsvanKessel et al				
SOM/NAMRU3_Mog_54/2021	2021-02-28	B.1.351	8.00	20H (Beta)	Somalia	Somalia	20H	202109	OK018339	Homo sapiens	B.1.351	Older	Africa	Naval Medical Research Center, Biological Defense Research Directorate, Genomics and Bioinformatics Department	Arnold et al				
TZA/KIDH-03B13/2021	2021-03-30	B.1.351	8.00	20H (Beta)	Tanzania	Tanzania	20H	202113	OP236836	Homo sapiens	B.1.351	Older	Africa	Kibong'oto Infectious Diseases Hospital, Clinical Laboratory	Mziray et al				
ZAF/NHLS-UCT-GP-6461/2021	2021-05-07	B.1.351	8.00	20H (Beta)	South Africa	South Africa	20H	202118	PP520230	Homo sapiens	B.1.351	Older	Africa	University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division	Wilkinson et al				
OY723591	2021-08-10	B.1.351.5	8.00	20H (Beta)	Spain	Madrid Area	20H	202132	OY723591	Homo sapiens	B.1.351.5	Older	Europe	Fundacion Instituto de Investigacion Fundacion Jimenez Diaz, Avda. de los Reyes Catolicos, 2, Madrid	Perales et al	Fundación Instituto de Investigación Sanitaria Fundación Jiménez Díaz, Madrid, Spain			
MYS/NCOV4927/2021	2021-05-09	B.1.351	8.00	20H (Beta)	Malaysia	Malaysia	20H	202119	OM062534	Homo sapiens	B.1.351	Older	Asia	UNIVERSITI SAINS MALAYSIA, DEPARTMENT OF MEDICAL MICROBIOLOGY & PARASITOLOGY, SCHOOL OF MEDICAL SCIENCES	Chan et al				
Colombia/CO-ANT-UW21061664857/2021	2021-06-16	B.1.621	8.00	21H (Mu)	Colombia	Colombia	21H	202124	OQ691245	Homo sapiens	B.1.621	Older	South America	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al				
OZ286434	2021-10-11	B.1.621	10.00	21H (Mu)	Spain	Madrid Area	21H	202141	OZ286434	Homo sapiens	B.1.621	Older	Europe	Fundacion Instituto de Investigacion Fundacion Jimenez Diaz, Avda. de los Reyes Catolicos, 2, Madrid	Perales et al	Fundación Instituto de Investigación Sanitaria Fundación Jiménez Díaz, Madrid, Spain			
COL/SEC-1643E/2021	2021-08-02	B.1.621	8.00	21H (Mu)	Colombia	Colombia	21H	202131	OQ558999	Homo sapiens	B.1.621	Older	South America	Universidad Nacional, ANTIOQUIA	Orf et al				
COL/SEC-0771Q/2021	2021-05-03	B.1.621	9.00	21H (Mu)	Colombia	Colombia	21H	202118	OQ565023	Homo sapiens	B.1.621	Older	South America	Universidad Nacional, ANTIOQUIA	Orf et al				
JOR/SEARCH-2586-JOR/2020	2020-07-04	B.1.466	1.00	20A	Jordan	Amman	20A	202027	PP045661	Homo sapiens	B.1.466	Older	Asia	The Scripps Research Institute, Immunology and Microbiology	Andersen et al	Issa Abu-Dayyeh, Ahmad Tibi, Lama Hussein, Lina Mohammad, Zein Naber, Amid Abdelnour with SEARCH Alliance San Diego with the help of Biolab Diagnostic Laboratories			
IDN/10761001030/2021	2021-01-27	B.1.470	2.00	20A	Indonesia	Banten	20A	202104	PX063669	Homo sapiens	B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001037/2021	2021-02-11	B.1.470	1.00	20A	Indonesia	Banten	20A	202106	PX063712	Homo sapiens	B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101012/2021	2021-04-01	B.1.470	1.00	20A	Indonesia	Bali	20A	202113	PX063717	Homo sapiens	B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10752101007/2021	2021-03-12	B.1.470	2.00	20A	Indonesia	Bali	20A	202110	PX063724	Homo sapiens	B.1.466	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001014/2020	2020-12-31	B.1.466.2	2.00	20A	Indonesia	Banten	20A	202053	PX063728	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
CHN/S148-1293-248679/2021	2021-04-12	B.1.466.2	3.00	20A	China	China	20A	202115	PP380199	Homo sapiens	B.1.466.2	Older	Asia	Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital	Wang et al				
IDN/10761001042/2021	2021-02-16	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202107	PX063670	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001047/2021	2021-02-25	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202108	PX063667	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001063/2021	2021-03-23	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202112	PX063674	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001081/2021	2021-04-30	B.1.466.2	3.00	20A	Indonesia	Banten	20A	202117	PX063711	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
IDN/10761001087/2021	2021-05-06	B.1.466.2	4.00	20A	Indonesia	Banten	20A	202118	PX063696	Homo sapiens	B.1.466.2	Older	Asia	INA-RESPOND, Reference Laboratory	Lokida et al				
